Name,Card Code,Collections,Albums (from Collections),Rarity,Energy,Power,Ability Title,Ability (Override)
First Aid Kit,SMM001,Medical Marvels,Science,Common,3,2,Heal Up,<indent=1em>:play:</indent><indent=2em>Restore <nobr>+2 :health:</nobr>.</indent>
Grizzly Bear,NMA001,Mammals,Nature,Rare,5,4,Paw Power,<indent=1em>:play:</indent><indent=2em>Gain <nobr>+1 Hero :attack:</nobr>.</indent>
Moai Statues,HAM001,Archaeological Marvels,History,Rare,5,4,Rock Solid,<indent=1em>:play:</indent><indent=2em>Your Culture cards in hand gain <nobr>+2 :attack:</nobr> this turn.</indent>
Gorilla,NPR001,Primates,Nature,Rare,8,6,,
Pterodactyl,NAB001,Ancient Beasts,Nature,Common,5,5,Natural Flier,<indent=1em>:play:</indent><indent=2em>Your Nature cards gain <nobr>+1 :attack:</nobr> for 2 turns.</indent>
Ajax,CGM017,Greek Mythology,Culture,Epic,6,5,Body-Shield,<indent=1em>:play:</indent><indent=2em>Gain <nobr>+5 :shield:</nobr>.</indent>
Michelangelo's David,CMA011,Masterpieces,Culture,Legendary,3,1,Artistic Merit,<indent=1em>:play:</indent><indent=2em>Your Masterpieces cards gain <nobr>+1 :attack:</nobr> permanently.</indent>
Benjamin Franklin,HAR001,The American Revolution,History,Epic,4,4,Common Friend,"<indent=1em>:return:</indent><indent=2em>If played alone, your Common cards cost <nobr>-2 :energy:</nobr> next turn.</indent>"
Honey,CFD017,Food and Drink,Culture,Common,3,2,No Bother,"<indent=1em>:play:</indent><indent=2em>When played with Grizzly Bear, both cards gain <nobr>+1 :attack:</nobr> this turn.</indent>"
The Creation of Adam,CMA012,Masterpieces,Culture,Rare,5,4,Genesis,<indent=1em>:return:</indent><indent=2em>Your remaining Culture cards in-hand gain <nobr>+1 :attack:</nobr> next turn.</indent>
Stone Axe,HAM002,Archaeological Marvels,History,Rare,5,4,Back To Basics,<indent=1em>:return:</indent><indent=2em>Your remaining History cards in-hand gain <nobr>+1 :attack:</nobr> next turn.</indent>
The Declaration of Independence,HSS001,Signed & Sealed,History,Common,3,2,Unanimous,"<indent=1em>:play:</indent><indent=2em>When played with Benjamin Franklin, both cards gain <nobr>+1 :attack:</nobr> this turn.</indent>"
Biplane,STF001,Take Flight,Science,Common,3,2,Rampage,"<indent=1em>:play:</indent><indent=2em>When played with Gorilla, both cards gain <nobr>+1 :attack:</nobr> this turn.</indent>"
Goliath Frog,NAM011,Amphibians,Nature,Common,3,2,Versus,"<indent=1em>:play:</indent><indent=2em>When played with Michelangelo's David, both cards gain <nobr>+1 :attack:</nobr> this turn.</indent>"
Ginkgo Biloba,NGG001,Go Green,Nature,Rare,5,4,Roots,<indent=1em>:return:</indent><indent=2em>Your remaining Nature cards in-hand gain <nobr>+1 :attack:</nobr> next turn.</indent>
Microscope,SII004,Ingenious Inventions,Science,Rare,5,4,I See,<indent=1em>:return:</indent><indent=2em>Your remaining Science cards in-hand gain <nobr>+1 :attack:</nobr> next turn.</indent>
Pom-pom Crab,NAR004,Around the Reef,Nature,Rare,8,7,Cheerleader,"<indent=1em>:play:</indent><indent=2em>If it is before Turn 4, this card gains <nobr>+3 :attack:</nobr>.</indent>"
Guy of Gisbourne,CRH006,Legend of Robin Hood,Culture,Rare,3,2,Love Triangle,<indent=1em>:return:</indent><indent=2em>Three random Robin Hood cards cost <nobr>-1 :energy:</nobr> until played.</indent>
Thunderstorms,SWW001,Wicked Weather,Science,Legendary,8,3,Strike,<indent=1em>:return:</indent><indent=2em>Fully charge both Heroes.</indent>
Will Stutly,CRH014,Legend of Robin Hood,Culture,Common,4,3,Godfather,<indent=1em>:return:</indent><indent=2em>Your Little John card costs -1 Energy until played.</indent>
Arthur a Bland,CRH015,Legend of Robin Hood,Culture,Common,5,4,a Flavoursome,<indent=1em>:play:</indent><indent=2em>Your Food and Drink cards gain <nobr>+1 :attack:</nobr> this turn.</indent>
Sir Richard of Verysdale,CRH012,Legend of Robin Hood,Culture,Common,5,4,Lording It,"<indent=1em>:play:</indent><indent=2em>Your ""Place"" cards in-hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
Merry Men,CRH016,Legend of Robin Hood,Culture,Fusion,6,4,Band Together,<indent=1em>:play:</indent><indent=2em>Your Common cards with 4 or less Base <nobr>:attack:</nobr> gain <nobr>+4 :attack:</nobr> this turn.</indent>
Bishop of Hereford,CRH013,Legend of Robin Hood,Culture,Common,6,8,Greedy,<indent=1em>:return:</indent><indent=2em>This card costs <nobr>+1 :energy:</nobr> permanently.</indent>
Tornado,SWW006,Wicked Weather,Science,Rare,5,3,Whirlwind,<indent=1em>:draw:</indent><indent=2em>Reset a random card in each player's hand.</indent>
Sea Sponge,NAR005,Around the Reef,Nature,Rare,5,3,I'm Ready!,<indent=1em>:turnstart:</indent><indent=2em>A random Around the Reef card in your hand costs -1 Energy this turn.</indent>
Avalanche,SWW002,Wicked Weather,Science,Epic,5,2,Cascade,<indent=1em>:turnstart:</indent><indent=2em>This card gains +1 Attack until played.</indent>
Maid Marian,CRH003,Legend of Robin Hood,Culture,Epic,7,5,Made of Honor,"<indent=1em>:draw:</indent><indent=2em>For every Common card you have played this game, gain <nobr>+1 :shield:</nobr>.</indent>"
Rainbow,SWW016,Wicked Weather,Science,Fusion,6,4,All the Colors,<indent=1em>:play:</indent><indent=2em>A random card from each Album in your hand gains <nobr>+2 :attack:</nobr> until played.</indent>
Frost,SWW010,Wicked Weather,Science,Common,3,2,Bite,<indent=1em>:draw:</indent><indent=2em><nobr>Freeze :freeze:</nobr> 1 card in your opponent's hand this turn.</indent>
Snowflakes,SWW008,Wicked Weather,Science,Common,3,6,Winter Confetti,<indent=1em>:return:</indent><indent=2em><nobr>Freeze :freeze:</nobr> 1 card in your hand next turn.</indent>
Clouds,SWW009,Wicked Weather,Science,Common,3,3,Aerosol,<indent=1em>:draw:</indent><indent=2em>Three random cards in your deck gain <nobr>+1 :attack:</nobr> until played.</indent>
Rain,SWW011,Wicked Weather,Science,Common,4,8,Falls,<indent=1em>:turnstart:</indent><indent=2em>This card loses <nobr>-1 :attack:</nobr>.</indent>
Homer,CLI017,Literature,Culture,Epic,6,0,Poeta Epicus,"<indent=1em>:draw:</indent><indent=2em>For every Epic Greek Mythology card you've played before this turn, this card gains <nobr>+1 :attack:</nobr> this turn.</indent>"
Calcium,SPT017,The Periodic Table,Science,Rare,4,0,Healthy Bones,<indent=1em>:draw:</indent><indent=2em>Disarm your Femur and Humerus cards this turn.</indent>
Nefertiti,HAE017,Ancient Egypt,History,Legendary,6,3,Exclusivist,"<indent=1em>:draw:</indent><indent=2em>If you have less Hero Attack than your opponent this turn, gain <nobr>+6 :shield:</nobr>.</indent>"
Odysseus,CGM018,Greek Mythology,Culture,Epic,5,2,Sole Survivor,"<indent=1em>:play:</indent><indent=2em>This card gains <nobr>+3 :attack:</nobr> permanently, and your other cards in play lose <nobr>-1 :attack:</nobr> permanently.</indent>"
Greenland Shark,NSH017,Sharks,Nature,Rare,5,3,Toxic Skin,<indent=1em>:play:</indent><indent=2em>The card opposite loses <nobr>-2 :attack:</nobr> this turn.</indent>
Harry Houdini,HHC010,Hoaxes and Cons,History,Legendary,9,1,Reappearance,<indent=1em>:turnstart:</indent><indent=2em>This card costs <nobr>-1 :energy:</nobr> and gains <nobr>+1 :attack:</nobr> until played.</indent>
Abraham Lincoln,HUR017,Unruly Rulers,History,Epic,6,4,"Fairness, and Fairness Only",<indent=1em>:play:</indent><indent=2em>2 random Common cards in either player's deck gain <nobr>+2 :attack:</nobr> permanently.</indent>
Napoleon,HUR018,Unruly Rulers,History,Rare,6,3,Triomphe Napoleon!,"<indent=1em>:play:</indent><indent=2em>If played between two Commons, this card gains <nobr>+2 :attack:</nobr> permanently.</indent>"
Wright Brothers,SST017,STEM Stars,Science,Rare,5,1,Fly-oneers,"<indent=1em>:draw:</indent><indent=2em>For every Flying card in your hand, this card gains <nobr>+1 :attack:</nobr> this turn.</indent>"
Doc Holliday,HOW001,The Old West,History,Common,3,4,I'm Your Huckleberry,<indent=1em>:draw:</indent><indent=2em>This card gains <nobr>+2 :attack:</nobr> this turn.</indent>
Electric Guitar,CPP001,Pitch Perfect,Culture,Epic,5,2,Epic Solo,"<indent=1em>:play:</indent><indent=2em>If played alone, gain <nobr>+8 Hero :attack:</nobr>.</indent>"
Grand Piano,CPP002,Pitch Perfect,Culture,Rare,4,0,Tuning,<indent=1em>:play:</indent><indent=2em>8 random Culture cards from either player's deck gain <nobr>+1 :attack:</nobr> until played.</indent>
Grim Reaper,CTO017,The Occult,Culture,Legendary,10,0,When Next We Meet...,"<indent=1em>:play:</indent><indent=2em>If you have played Grim Reaper once, 1 random card from either player's hand loses <nobr>-30 :attack:</nobr> and is Disarmed permanently.</indent>"
Chainsaw,SII003,Ingenious Inventions,Science,Rare,0,0,RRRRRRRRRRR!!!,<indent=1em>:turnstart:</indent><indent=2em>Your opponent loses <nobr>-2 :shield:</nobr>.</indent>
Wooly Mammoth,NAB002,Ancient Beasts,Nature,Rare,5,4,Adaptation,<indent=1em>:play:</indent><indent=2em>This card gains <nobr>+1 :attack:</nobr> permanently.</indent>
Goldfish,NSF001,Something Fishy,Nature,Common,2,4,Remind Me,<indent=1em>:draw:</indent><indent=2em>Reset this card.</indent>
John Carter of Mars,CHE006,Heroes of Culture,Culture,Hero,0,80,Martian Warlord,"For every Human or Creature in your hand, gain <nobr>+2 Hero :attack:</nobr>. <nobr>[3 :charge:]</nobr>"
Utahraptor,NDI017,Dinosaurs,Nature,Rare,3,1,Ambush Predator,"<indent=1em>:return:</indent><indent=2em>If you <nobr>Attacked :attack:</nobr> this turn, restore <nobr>+5 :health:</nobr>.</indent>"
Neil Armstrong,SBG001,To Boldly Go,Science,Epic,6,5,Moonwalk,<indent=1em>:draw:</indent><indent=2em>Your The Moon card costs <nobr>-5 :energy:</nobr> until played.</indent>
Nellie Bly,HEX001,Exploration,History,Rare,4,3,Around the World,"<indent=1em>:return:</indent><indent=2em>If played adjacent to any Place card, this card gains <nobr>+3 :attack:</nobr>.</indent>"
Yuri Gagarin,SBG002,To Boldly Go,Science,Legendary,5,5,First!,"<indent=1em>:play:</indent><indent=2em>If you have not played any To Boldly Go cards this game, your To Boldly Go cards gain <nobr>+1 :attack:</nobr>.</indent>"
Iguanodon ,NDI019,Dinosaurs,Nature,Common,3,4,Facultative Biped,"<indent=1em>:return:</indent><indent=2em>If played on the left, gain <nobr>+2 Hero :attack:</nobr>. If played on the right, restore <nobr>+4 :health:</nobr>.</indent>"
Styracosaurus,NDI020,Dinosaurs,Nature,Common,2,3,Spiked,<indent=1em>:play:</indent><indent=2em>The opposite card loses <nobr>-1 :attack:</nobr> this turn.</indent>
Deinonychus,NDI018,Dinosaurs,Nature,Common,3,4,Renaissance,<indent=1em>:return:</indent><indent=2em>This card gains <nobr>+2 :attack:</nobr> permanently.</indent>
Einiosaurus,NDI021,Dinosaurs,Nature,Common,4,3,Forward Curve,<indent=1em>:draw:</indent><indent=2em>Gain <nobr>+2 :energy:</nobr>.</indent>
Space Shuttle,SBG003,To Boldly Go,Science,Rare,7,4,Orbital,"<indent=1em>:return:</indent><indent=2em>For every turn completed this game, restore <nobr>+2 :health:</nobr></indent>"
Pachycephalosaurus,NDI022,Dinosaurs,Nature,Rare,4,3,Thick Skull,"<indent=1em>:play:</indent><indent=2em>If you are <nobr>attacking :attack:</nobr> this turn, gain <nobr>+5 :shield:</nobr>.</indent>"
Sir Walter Raleigh,HEX002,Exploration,History,Epic,5,0,Golden Opportunity,<indent=1em>:turnstart:</indent><indent=2em>A random card in your deck gains <nobr>+5 :attack:</nobr> this turn.</indent>
Sally Ride,SBG004,To Boldly Go,Science,Common,4,4,Mission Specialist,<indent=1em>:play:</indent><indent=2em>A random STEM Stars card in your deck gains <nobr>+1 :attack:</nobr>.</indent>
Mars Rover Opportunity,SBG006,To Boldly Go,Science,Common,4,5,Distant Study,<indent=1em>:draw:</indent><indent=2em>Your Artifact cards in-hand gain <nobr>+1 :attack:</nobr> this turn.</indent>
Luna 1,SBG007,To Boldly Go,Science,Common,5,5,Missed Moon,"<indent=1em>:play:</indent><indent=2em>If you are at or below 45 <nobr>:health:</nobr>, gain <nobr>+5 Hero :attack:</nobr> this turn.</indent>"
Eileen Collins,SBG005,To Boldly Go,Science,Common,7,3,Pitch Maneuver,"<indent=1em>:return:</indent><indent=2em>If you have not played this card before, it gains <nobr>+4 :attack:</nobr> and costs <nobr>-4 :energy:</nobr>.</indent>"
Edmund Hillary,HEX003,Exploration,History,Rare,5,5,Peaking,"<indent=1em>:draw:</indent><indent=2em>If it is a Wild Turn, your Exploration cards cost <nobr>-1 :energy:</nobr> until played.</indent>"
Mae Jemison,SBG008,To Boldly Go,Science,Epic,5,3,Flying Doctors,"<indent=1em>:play:</indent><indent=2em>If played adjacent to any Flying card, your Human cards gain <nobr>+1 :attack:</nobr> for 3 turns.</indent>"
Tenzing Norgay,HEX004,Exploration,History,Rare,5,5,Summit,"<indent=1em>:play:</indent><indent=2em>When played next to Edmund Hillary, your Exploration cards in-hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
Allosaurus,NDI023,Dinosaurs,Nature,Legendary,7,3,Pack Hunter,"<indent=1em>:play:</indent><indent=2em>For every Dinosaur card in your hand, your opponent loses <nobr>-2 Hero :attack:</nobr>.</indent>"
